Gene_ID	Exemplar_gene	Exemplar_species	Gene_database	Record_ID	Database_URL	In_tree
4471	D2HGDH	Dendrobium catenatum	UniProtKB	A0A2I0W1B0	https://www.uniprot.org/uniprot/A0A2I0W1B0	Y
4527	PUR2_8	Anthurium amnicola	UniProtKB	A0A1D1YNS3	https://www.uniprot.org/uniprot/A0A1D1YNS3	Y
4691	TL17	Zea mays	UniProtKB	A0A3L6EN24	https://www.uniprot.org/uniprot/A0A3L6EN24	Y
4724	HISN2_0	Vitis vinifera	UniProtKB	A0A438JD55	https://www.uniprot.org/uniprot/A0A438JD55	Y
4744	DET1	Nicotiana attenuata	UniProtKB	A0A1J6IU77	https://www.uniprot.org/uniprot/A0A1J6IU77	Y
4757	NFU4	Prunus persica var. persica	UniProtKB	A0A140B492	https://www.uniprot.org/uniprot/A0A140B492	Y
4793	-	-	-	-	-	Y
4796	NNRD	Helianthus annuus	UniProtKB	A0A251SZN4	https://www.uniprot.org/uniprot/A0A251SZN4	Y
4802	CPFTSY	Arabidopsis thaliana	UniProtKB	O80842	https://www.uniprot.org/uniprot/O80842	Y
4806	ZEU1_0	Vitis vinifera	UniProtKB	A0A438BTH8	https://www.uniprot.org/uniprot/A0A438BTH8	Y
4848	ARC6_2	Vitis vinifera	UniProtKB	A0A438HYI0	https://www.uniprot.org/uniprot/A0A438HYI0	Y
4889	HCS1	Mucuna pruriens	UniProtKB	A0A371I676	https://www.uniprot.org/uniprot/A0A371I676	Y
4890	RANGRF	Mucuna pruriens	UniProtKB	A0A371GM23	https://www.uniprot.org/uniprot/A0A371GM23	Y
4893	era	Salvia splendens	UniProtKB	A0A4D8YME2	https://www.uniprot.org/uniprot/A0A4D8YME2	Y
4932	CNX2	Arabidopsis thaliana	UniProtKB	Q39055	https://www.uniprot.org/uniprot/Q39055	Y
4942	WAV2	Arabidopsis thaliana	UniProtKB	Q8RXP6	https://www.uniprot.org/uniprot/Q8RXP6	Y
4951	DIM1A_0	Vitis vinifera	UniProtKB	A0A438IXM4	https://www.uniprot.org/uniprot/A0A438IXM4	Y
4954	CTNNBL1	Mucuna pruriens	UniProtKB	A0A371EWQ1	https://www.uniprot.org/uniprot/A0A371EWQ1	Y
4989	FKBP42	Arabidopsis thaliana	UniProtKB	Q9LDC0	https://www.uniprot.org/uniprot/Q9LDC0	Y
4992	SCC3	Arabidopsis thaliana	UniProtKB	O82265	https://www.uniprot.org/uniprot/O82265	Y
5018	csd	Gossypium australe	UniProtKB	A0A5B6WVB0	https://www.uniprot.org/uniprot/A0A5B6WVB0	Y
5032	RNP1	Nicotiana benthamiana	UniProtKB	T2FD46	https://www.uniprot.org/uniprot/T2FD46	Y
5034	PPH	Mucuna pruriens	UniProtKB	A0A371ESM3	https://www.uniprot.org/uniprot/A0A371ESM3	Y
5038	AAAS	Arabidopsis thaliana	UniProtKB	Q8GWR1	https://www.uniprot.org/uniprot/Q8GWR1	Y
5064	Tceb1_5	Anthurium amnicola	UniProtKB	A0A1D1Y1T1	https://www.uniprot.org/uniprot/A0A1D1Y1T1	Y
5090	ISPF	Nicotiana attenuata	UniProtKB	A0A314LAZ0	https://www.uniprot.org/uniprot/A0A314LAZ0	Y
5104	ratA_2	Anthurium amnicola	UniProtKB	A0A1D1Z2D2	https://www.uniprot.org/uniprot/A0A1D1Z2D2	Y
5116	DAP3	Mucuna pruriens	UniProtKB	A0A371GUZ5	https://www.uniprot.org/uniprot/A0A371GUZ5	Y
5123	SKIP31	Mucuna pruriens	UniProtKB	A0A371HEA6	https://www.uniprot.org/uniprot/A0A371HEA6	Y
5131	ABCI15	Hevea brasiliensis	UniProtKB	A0A097P9U1	https://www.uniprot.org/uniprot/A0A097P9U1	Y
5138	PPAN_1	Vitis vinifera	UniProtKB	A0A438F3F9	https://www.uniprot.org/uniprot/A0A438F3F9	Y
5162	CRSH	Arabidopsis thaliana	UniProtKB	A0A1I9LR76	https://www.uniprot.org/uniprot/A0A1I9LR76	Y
5163	VPS45	Arabidopsis thaliana	UniProtKB	O49048	https://www.uniprot.org/uniprot/O49048	Y
5168	EXOSC7	Mucuna pruriens	UniProtKB	A0A371EKH9	https://www.uniprot.org/uniprot/A0A371EKH9	Y
5177	-	-	-	-	-	Y
5188	RBMX2	Salvia splendens	UniProtKB	A0A4D9C4A3	https://www.uniprot.org/uniprot/A0A4D9C4A3	Y
5200	RPL3B_1	Nicotiana attenuata	UniProtKB	A0A314KZU6	https://www.uniprot.org/uniprot/A0A314KZU6	Y
5206	rplM	Gossypium australe	UniProtKB	A0A5B6WXG8	https://www.uniprot.org/uniprot/A0A5B6WXG8	Y
